Title,Rating,Description,Country,Episodes,Year,Genre1,Genre2,Genre3,Genre4,Genre5,Genre6,Cast1,Cast2,Cast3,Cast4,Cast5,Cast6
Immortal Songs 2 ,3.0,immortal song is back with season two and a new look immortal song 2011 invites the living legends of the singing world to sing together with the nations topclass idol singers the young korean singers reinterpret the legends old masterpieces and perform the newly arranged songs to the audience you will be impressed by the beautiful harmony and the highquality music they proudly present,korean,500,2012,drama , game-show , kshow , korean ,drama ,drama ,,,,,,
Bulgasal: Immortal Souls ,4.0,a fantasy drama that revolves around two characters the first is a woman who has gone through several reincarnations over the course of 600 years and remembers all of her past lives and the second is a man who has lived for over 600 years as a bulgasala mythical creature that feeds off human blood and is cursed with immortality dan hwal used to be human 600 years ago he turns into a bulgasal during the joseon dynasty while working as a military official and completing a mission to erase the remnants of the previous dynasty min sang un who was once a bulgasal but is reincarnated as a human after suffering the loss of her mother and twin sister at the hands of an unidentified murderer min sang un escapes with her younger sister min sa ho and lives quietly in hiding although she works hard to conceal her name and identity the appearance of a bulgasal alters her life of secrecy ok eul tae another bulgasal living in secrecy he has enjoyed immorality for the past centuries and has accumulated immense wealth which he uses to control politicians businessmen and the media with his decadent beauty and overwhelming charisma he has all the ingredients to be the most powerful figure in korea dan sol is the daughter of a powerful family who ends up marrying dan hwal because of her father she has something special that others cannot make sense of,korean,16,2021,drama , drama , fantasy , supernatural , korean ,drama , support role, jung jin youngsupport role, seo jae wonunknown role, gong seung yeonmain role, lee joonmain role, kwon so raunknown role
Idol Dictation Contest Season 2 ,3.0,season 2 of the spinoff version of the popular tvn variety series amazing saturday  doremi market ,korean,6,2021,drama , comedy , food , kshow , music , korean , , choi ye na, key, lee mi joo, lee chae ryeong, lee tae kyungunknown role
Best Mistake Season 3 ,2.0,the new season will take place in a college setting showing the growth and romance of young people as they prepare to enter the real world ,korean,10,2021,drama , comedy , drama , romance , school , youth , lee eun jaemain role, lee jung joonsupport role, kim so yeonsupport role, support role, yoon hyun sukmain role, choe chan yisupport role
Time of Memory ,3.0,talents looks wit  you name it the next generation rising star jung woo jin has it all whatever he wears carries around  puts on they all get sold out right after but even he has some pain that no one knows about hes suffering from a disease that makes him remember everything even the tiniest details this disease makes him feel the emotions that he had at the moment  puts him in a helllike situation by making him relive the past one day do hae soo appears in his nightmare unlike him she only lives with a month worth of memories,korean,10,2021,drama , drama , fantasy , romance , korean ,drama ,binniemain role, park eun woosupport role, nam kyu heesupport role, lee sung yeolmain role, park sung woosupport role,binniemain role
We Don't Bite: Street Woman Fighter ,3.5,look carefully this time its unnies vacation representatives dancers from street woman fighter are coming for vacation in the countryside ,korean,3,2022,drama , comedy , drama , friendship , life , korean ,choi hyo jin, gabee, lee lee jung, monika shin, aiki, ri.hey
Love Twist ,4.0,a drama depicting a sweet twist in love between the parents and children of three families around the love of two main characters ,korean,100,2021,drama , drama , family , korean ,drama ,drama ,park hye jinsupport role, nam kyung eupsupport role, , yoon da hoonsupport role, support role, yoo tae woongsupport role
The Second Husband ,4.5,a romance drama centered on the story of a woman and her family surrounding a confectionery company,korean,120,2021,drama , drama , melodrama , romance , korean ,drama , kim hee jungsupport role, kang yoonsupport role, jung sung mosupport role, support role, seo hyun joounknown role, lee chang yupmain role
Sketchbook of Youheeyeul ,3.0,the label  antenna music buda sound bunga bunga record  i hope to see you,korean,500,2018,drama , comedy , game-show , kshow , vampire , korean ,,,,,,
Music Bank ,3.0,music ranking show with live performance by popular artists the show introduces kpop chart show to rank top kpop music of the week through different standards and the chart by every different categories is featured on this show sit back and relax listen to the music and look at the performances to see the korean music trend,korean,1000,2018,drama , comedy , fantasy , game-show , kshow , music , yoo jung yeon, jun jin, hyun woohost , uee, jang hee jin, kim bo kyung
DNA Mate ,3.0,dna mate is an observational reality show focusing on siblings aka dna mates we can enjoy watching celebrities daily lives and their unique dynamics with other siblings,korean,4,2022,drama , kshow , korean ,drama ,drama ,drama ,solar, lee kyung kyu, dindin, hong ji yun, kim jung eun,solar
I Like to Sing ,3.0,a singing competition for anyone who loves to sing with the audience of 100 people as the judges to vote for the final winner,korean,200,2016,drama , game-show , kshow , korean ,drama ,drama ,,,,,,
